Noise setting,ΔAP@0.3,ΔRG@0.3,ΔAP@0.5,ΔRG@0.5,ΔAP@0.7,ΔRG@0.7
clean,-0.5104990187132692,0.0,-0.49742245414240066,0.0,-0.3836475902478783,0.0
rot_only_1p0,-0.44887657463872727,0.06162244407454202,-0.4365204819987589,0.06090197214364176,-0.30422592390261427,0.07942166634526404
rot_only_2p0,-0.43027179937525917,0.08022721933801011,-0.39983148467493956,0.09759096946746112,-0.2642883835830001,0.11935920666487816
rot_only_4p0,-0.3684636565178442,0.14203536219542512,-0.33951624608504205,0.1579062080573586,-0.2015779097082171,0.18206968053966116
pos_only_0p2,-0.525478759619143,-0.01497974090587384,-0.5019972733883289,-0.0045748192459282855,-0.3822408321766724,0.0014067580712059011
pos_only_0p5,-0.5246480026880069,-0.014148983974737739,-0.4912418727017716,0.006180581440629052,-0.33093747560722175,0.05271011464065648
pos_only_1p0,-0.3884714799463729,0.12202753876689638,-0.3163709139197354,0.18105154022266534,-0.24130204257851728,0.14234554766936097
rot_only_6p0,-0.31330176497720297,0.1971972537360663,-0.27125884784453547,0.22616360629786522,-0.1516783819352237,0.23196920831265455
rot_only_8p0,-0.2983981100491103,0.21210090866415898,-0.2564347635732692,0.2409876905691314,-0.14297990429507262,0.24066768595280563
rot_only_10p0,-0.2507406385590808,0.2597583801541884,-0.2227654082283259,0.2746570459140748,-0.09867176997238603,0.2849758202754923
rot_only_14p0,-0.11621421596414809,0.3942848027491212,-0.08707658903453672,0.41034586510786397,0.026609425127353353,0.4102570153752316
pos_0p2_rot_1p0,-0.4754897841584597,0.035009234554809573,-0.4342405193913675,0.06318193475103318,-0.3027706674538,0.0808769227940783
pos_0p2_rot_2p0,-0.40384591705343215,0.1066531016598371,-0.3746121091140012,0.12281034502839942,-0.20109856843023208,0.1825490218176462
pos_0p2_rot_4p0,-0.363241074833498,0.14725794387977126,-0.32222057561442363,0.17520187852797703,-0.16839321412723818,0.2152543761206401
pos_0p2_rot_6p0,-0.30360289204045543,0.20689612667281385,-0.26904661918224304,0.2283758349601576,-0.16243414166910258,0.2212134485787757
pos_0p2_rot_8p0,-0.2427473152595875,0.2677517034536817,-0.2199941564926903,0.27742829764971033,-0.10414117121949433,0.2795064190283839
pos_0p2_rot_10p0,-0.2072885077292271,0.30321051098404217,-0.18574823790585465,0.311674216236546,-0.0762648566853911,0.30738273356248713
pos_0p2_rot_14p0,-0.029386741982182867,0.4811122767310864,0.009156220918887792,0.5065786750612884,0.14050859200478438,0.5241561822526626
pos_0p5_rot_1p0,-0.4906327830252836,0.019866235687985657,-0.45205993533383354,0.04536251880856712,-0.2968685086063979,0.0867790816414804
pos_0p5_rot_2p0,-0.4286150492601874,0.08188396945308188,-0.39930696534178356,0.09811548880061711,-0.20879192704609437,0.17485566320178392
