Noise setting,ΔAP@0.3,ΔRG@0.3,ΔAP@0.5,ΔRG@0.5,ΔAP@0.7,ΔRG@0.7
clean,-0.3806037796389291,0.0,-0.26234544917635627,0.0,-0.051404243068176037,0.0
rot_only_1p0,-0.3372814000876079,0.04332237955132119,-0.2878260105363887,-0.02548056136003248,-0.02808996214784809,0.023314280920327946
rot_only_2p0,-0.25998217799346,0.12062160164546902,-0.03011397493107119,0.23223147424528504,0.13194413656279308,0.18334837963096912
rot_only_4p0,-0.19362915355612592,0.18697462608280313,0.10442488359364936,0.3667703327700056,0.43952894682076266,0.4909331898889387
pos_only_0p2,-0.5207441942825224,-0.14014041464359323,-0.28771391796374257,-0.025368468787386373,-0.03211064496213556,0.019293598106040477
pos_only_0p5,-0.6606833941145807,-0.28007961447565155,-0.33479411870763387,-0.0724486695312776,0.05364450973474414,0.10504875280292018
pos_only_1p0,-1.3986864030671877,-1.018082623428259,-0.8190503282165454,-0.5567048790401892,0.05979739120490398,0.11120163427308001
pos_only_3p0,-0.8699431187858505,-0.4893393391469214,-0.33196763345907376,-0.06962218428271752,0.4414695381553109,0.49287378122348696
rot_only_6p0,-0.02147578400286676,0.35912799563606235,0.28254448397078136,0.5448899331471375,0.573924008445718,0.625328251513894
rot_only_8p0,-0.26733986879677873,0.11326391084215033,0.10765607189594888,0.3700015210723051,0.6150845575892738,0.6664888006574499
rot_only_10p0,-0.026714908723135533,0.3538888709157936,0.2862938940079607,0.5486393431843168,0.657217380624094,0.70862162369227
rot_only_14p0,-0.2534490931353939,0.12715468650353517,0.21009963352386363,0.47244508270021984,0.6769515356780536,0.7283557787462296
rot_only_18p0,-0.41704574655695437,-0.0364419669180253,-0.0021929953509691735,0.2601524538253871,0.46189509719494204,0.5132993402631181
pos_0p2_rot_1p0,-0.5398084571998825,-0.15920467756095347,-0.26058348580160573,0.0017619633747504675,0.0772737118868827,0.12867795495505874
pos_0p2_rot_2p0,-0.3737047061716995,0.006899073467229548,-0.11445032714791174,0.14789512202844451,0.17082281920010783,0.2222270622682839
pos_0p2_rot_4p0,-0.6043652416695837,-0.22376146203065458,-0.1910146306921397,0.07133081848421652,0.23828064605674695,0.28968488912492296
pos_0p2_rot_6p0,-0.3797536934629734,0.0008500861759556481,0.09740019153564963,0.3597456407120059,0.5362516273929436,0.5876558704611197
pos_0p2_rot_8p0,-0.36518465342118,0.015419126217749065,-0.002005059597528132,0.2603403895788281,0.3685451060692254,0.4199493491374014
pos_0p2_rot_10p0,-0.12342000466688541,0.2571837749720437,0.19281233753561206,0.45515778671196827,0.461830913296013,0.513235156364189
pos_0p2_rot_14p0,-0.5076326438899954,-0.1270288642510664,-0.11022323410339781,0.15212221507295842,0.36256646767740175,0.41397071074557773
pos_0p2_rot_18p0,-0.7032918554229939,-0.3226880757840648,-0.20547788897680164,0.0568675601995546,0.2691719755309093,0.32057621859908536
pos_0p5_rot_1p0,-0.7653476725341668,-0.3847438928952377,-0.4625417115743417,-0.20019626239798546,-0.007346377965137633,0.0440578651030384
pos_0p5_rot_2p0,-0.7924083801790142,-0.4118046005400851,-0.35233741761792425,-0.08999196844156807,-0.038811902143439284,0.012592340924736748
pos_0p5_rot_4p0,-0.9576072254685967,-0.5770034458296676,-0.34258961872718485,-0.08024416955082861,0.2552188844767489,0.30662312754492493
pos_0p5_rot_6p0,-0.7976947750108709,-0.4170909953719419,-0.2095355983956345,0.05280985078072176,0.3301361406571446,0.3815403837253206
pos_0p5_rot_8p0,-0.7072050194032047,-0.3266012397642756,-0.2872569943399683,-0.024911545163612086,0.25871666525750425,0.3101209083256803
pos_0p5_rot_10p0,-0.6486744599435175,-0.26807068030458847,-0.13691146648432406,0.12543398269203215,0.45545587983107555,0.5068601228992515
pos_0p5_rot_14p0,-0.5742777201616349,-0.19367394052270576,-0.1409229738435343,0.12142247533282191,0.19869216793234612,0.25009641100052216
pos_0p5_rot_18p0,-0.9072273188352279,-0.5266235391962988,-0.32554768867608663,-0.06320223949973039,0.2871367102084724,0.33854095327664846
pos_1p0_rot_1p0,-1.4479157313769329,-1.0673119517380036,-0.7731491546862295,-0.5108037055098731,0.0676922603038014,0.11909650337197746
pos_1p0_rot_2p0,-1.1155180430251654,-0.7349142633862364,-0.6249132568393583,-0.362567807663002,-0.08442385626068102,-0.033019613192504974
pos_1p0_rot_4p0,-1.4530117060975476,-1.0724079264586184,-0.7913913255453098,-0.5290458763689536,0.14953356375922988,0.20093780682740592
pos_1p0_rot_6p0,-0.9651667315151694,-0.5845629518762403,-0.3718803833124248,-0.10953493413606852,0.3589264317395221,0.4103306748076981
pos_1p0_rot_8p0,-0.9982254921555689,-0.6176217125166399,-0.5563331016593749,-0.2939876524830187,0.09867118414040495,0.15007542720858097
pos_1p0_rot_10p0,-0.9015428887066265,-0.5209391090676974,-0.34483977224998663,-0.08249432307363044,0.21779276114625526,0.26919700421443127
pos_1p0_rot_14p0,-0.9581614249691506,-0.5775576453302216,-0.499555509174802,-0.23721005999844577,0.07468898939823054,0.12609323246640658
pos_1p0_rot_18p0,-0.8555139602135201,-0.47491018057459106,-0.25565562735316105,0.006689821823195145,0.5006569333331174,0.5520611764012935
pos_only_1p5,-1.4700968074575624,-1.0894930278186332,-0.7675120425163828,-0.5051665933400267,0.07770533333875487,0.12910957640693094
pos_1p5_rot_1p0,-1.4915776490518784,-1.1109738694129492,-0.8199995286647018,-0.5576540794883456,0.15976933799099297,0.21117358105916897
pos_1p5_rot_2p0,-1.7367558418277678,-1.3561520621888388,-0.9556276142003828,-0.6932821650240266,0.2752475136676572,0.32665175673583324
pos_1p5_rot_4p0,-1.7338767528327304,-1.3532729731938011,-0.9935023530758813,-0.7311569038995251,0.021272152837322388,0.07267639590549843
pos_1p5_rot_6p0,-1.2277826504238107,-0.8471788707848815,-0.6581200783428647,-0.39577462916650835,0.3836225882448844,0.43502683131306047
pos_1p5_rot_8p0,-1.1064698991994582,-0.7258661195605292,-0.4395300978914903,-0.17718464871513406,0.39932825740400063,0.45073250047217667
pos_1p5_rot_10p0,-1.2389628582448409,-0.8583590786059118,-0.620221659382288,-0.35787621020593186,0.25146089096982716,0.3028651340380032
pos_1p5_rot_14p0,-1.3964201393860862,-1.015816359747157,-0.8363908294668895,-0.5740453802905332,0.024759204228586018,0.07616344729676205
pos_1p5_rot_18p0,-0.7148362532625445,-0.3342324736236154,-0.12389096945689682,0.1384544797194594,0.8160407689086472,0.8674450119768232
pos_only_2p0,-1.4934665898753918,-1.1128628102364626,-0.655231942810941,-0.3928864936345848,0.4311719016017383,0.48257614466991433
pos_2p0_rot_1p0,-1.775638742346956,-1.395034962708027,-1.0024441674908346,-0.7400987183144785,0.1697580964298358,0.22116233949801187
pos_2p0_rot_2p0,-1.2802132730855544,-0.8996094934466256,-0.5271795573818923,-0.2648341082055361,0.4719952107975896,0.5233994538657656
pos_2p0_rot_4p0,-1.024819538494918,-0.6442157588559889,-0.4362661210341419,-0.1739206718577857,0.6629251257209774,0.7143293687891534
