Noise setting,ΔAP@0.3,ΔRG@0.3,ΔAP@0.5,ΔRG@0.5,ΔAP@0.7,ΔRG@0.7
clean,0.017876519494948916,0.0,0.0254801745334321,0.0,0.007630104432635824,0.0
rot_only_1p0,0.0008458733428584608,-0.017030646152090455,0.0015046371670786782,-0.023975537366353418,0.000520292355793428,-0.007109812076842396
rot_only_2p0,0.00572247768748276,-0.012154041807466154,0.006679096194060301,-0.0188010783393718,0.00901089701423885,0.0013807925816030262
rot_only_4p0,0.002664336385453196,-0.015212183109495717,0.008056850058156078,-0.017423324475276024,0.010642814521111266,0.0030127100884754414
pos_only_0p2,0.002114317209985413,-0.0157622022849635,0.004141218058872909,-0.02133895647455919,0.0031727123517103864,-0.0044573920809254375
pos_only_0p5,0.016191901071971326,-0.001684618422977587,0.015456347189113373,-0.010023827344318725,0.0049234510895668215,-0.0027066533430690027
pos_only_1p0,0.022407098093324418,0.004530578598375504,0.02230015015679543,-0.00318002437663667,0.024889064824062945,0.017258960391427124
rot_only_6p0,0.028843428141633876,0.010966908646684963,0.031601996737238666,0.0061218222038065635,0.028476790314217276,0.02084668588158145
rot_only_8p0,0.029844598949491097,0.011968079454542185,0.03337992182907608,0.007899747295643984,0.04202340784176066,0.03439330340912483
rot_only_10p0,0.06484969731884357,0.04697317782389465,0.06338688401923606,0.03790670948580395,0.05222081251343713,0.0445907080808013
rot_only_14p0,0.15213492138046086,0.13425840188551197,0.14235188596131892,0.11687171142788684,0.11786850216497687,0.11023839773234105
pos_0p2_rot_1p0,0.0014827433227708,-0.01639377617217811,0.0021605304094785005,-0.023319644123953598,-0.001842913516852951,-0.009473017949488776
pos_0p2_rot_2p0,0.009410730533954137,-0.008465788960994775,0.009680700677331771,-0.01579947385610033,0.006524009541795476,-0.0011060948908403478
pos_0p2_rot_4p0,0.004154880092884413,-0.0137216394020645,0.005010752616219083,-0.020469421917213015,0.007488057400987606,-0.00014204703164821808
pos_0p2_rot_6p0,0.011111618035464232,-0.006764901459484681,0.01620002140796939,-0.009280153125462709,0.022636352523164316,0.015006248090528492
pos_0p2_rot_8p0,0.042872985129741956,0.024996465634793037,0.049490128210884686,0.024009953677452588,0.04996319437967448,0.04233308994703866
pos_0p2_rot_10p0,0.05627964870561867,0.038403129210669754,0.06264225325593084,0.03716207872249873,0.060785546318089155,0.053155441885453326
pos_0p2_rot_14p0,0.15795276944371994,0.14007624994877105,0.1685359257893852,0.1430557512559531,0.13556815978581493,0.1279380553531791
pos_0p5_rot_1p0,0.005964701389915561,-0.011911818105033351,0.0077822715180420055,-0.017697903015390093,0.003927067180979163,-0.00370303725165666
pos_0p5_rot_2p0,0.007050520168768355,-0.010825999326180558,0.0073943376065958395,-0.01808583692683626,0.007826481582963913,0.00019637715032809014
pos_0p5_rot_4p0,0.011694019167242848,-0.006182500327706064,0.010877224222146282,-0.014602950311285815,0.021374325020205122,0.0137442205875693
pos_0p5_rot_6p0,0.0254104730108969,0.007533953515947989,0.03265243204640389,0.007172257512971791,0.035336578143561434,0.027706473710925605
pos_0p5_rot_8p0,0.03939416580168349,0.021517646306734584,0.05841965242815069,0.032939477894718586,0.059009787398356384,0.05137968296572056
pos_0p5_rot_10p0,0.07502910214361078,0.057152582648661854,0.1024697400060337,0.0769895654726016,0.07930581035021275,0.07167570591757691
pos_0p5_rot_14p0,0.1565805196172369,0.13870400012228795,0.1749184807188775,0.1494383061854454,0.1326446908516965,0.12501458641906066
pos_1p0_rot_1p0,0.02124549300288603,0.0033689735079371155,0.026802801246813186,0.0013226267133810885,0.019600193280862786,0.011970088848226961
pos_1p0_rot_2p0,0.031804317399686255,0.013927797904737341,0.035217160191434546,0.009736985658002444,0.037684590629142686,0.030054486196506858
pos_1p0_rot_4p0,0.028285397487084103,0.01040887799213519,0.040221476962952016,0.014741302429519912,0.036232492719036793,0.028602388286400975
pos_1p0_rot_6p0,0.04191113832908526,0.024034618834136344,0.05895999051853488,0.03347981598510279,0.053126611043025074,0.045496506610389245
pos_1p0_rot_8p0,0.05113597411934845,0.03325945462439954,0.07457014040727813,0.04908996587384603,0.07695797086464026,0.06932786643200442
pos_1p0_rot_10p0,0.10345934758080877,0.08558282808585985,0.12217014774610531,0.09668997321267322,0.11571067119295526,0.10808056676031945
pos_1p0_rot_14p0,0.2277189086293744,0.20984238913442552,0.22925462583989384,0.20377445130646174,0.18942119315546085,0.18179108872282507
pos_only_1p5,0.06771214740997808,0.04983562791502916,0.08224483691498344,0.056764662381551347,0.06983614206262923,0.0622060376299934
pos_1p5_rot_1p0,0.0662197045637821,0.04834318506883317,0.07777506219727912,0.05229488766384701,0.06829480181477776,0.06066469738214194
pos_1p5_rot_2p0,0.0442814553912078,0.02640493589625888,0.05773864613239921,0.03225847159896711,0.05838358965658726,0.050753485223951435
pos_1p5_rot_4p0,0.08799083971279079,0.07011432021784189,0.08672209727080271,0.06124192273737061,0.09026562893813539,0.08263552450549957
pos_1p5_rot_6p0,0.08841318453276145,0.07053666503781253,0.10312000431882962,0.07763982978539752,0.107474764429355,0.09984465999671917
pos_1p5_rot_8p0,0.12460234074038734,0.10672582124543843,0.1500432612204376,0.12456308668700548,0.14719663085664414,0.1395665264240083
pos_1p5_rot_10p0,0.18368927449089095,0.16581275499594206,0.20560360905862254,0.18012343452519047,0.20268512666313243,0.1950550222304966
pos_1p5_rot_14p0,0.2962736593558798,0.27839713986093084,0.3010532539701719,0.2755730794367398,0.27021226133265663,0.26258215690002085
pos_only_2p0,0.19427673494885794,0.17640021545390905,0.18680309227265823,0.16132291773922613,0.15499921963081736,0.14736911519818152
pos_2p0_rot_1p0,0.18190201676867207,0.16402549727372318,0.1811880520288245,0.1557078774953924,0.11322158446872381,0.10559148003608798
pos_2p0_rot_2p0,0.19580307412707296,0.17792655463212403,0.2059842043131014,0.18050402977966934,0.13370033449198737,0.12607023005935153
pos_2p0_rot_4p0,0.23313459278569057,0.21525807329074165,0.23020203445131746,0.20472185991788536,0.17474100344807192,0.16711089901543613
pos_2p0_rot_6p0,0.2419472125644695,0.22407069306952057,0.22405234097923796,0.19857216644580586,0.18341401491242343,0.1757839104797876
pos_2p0_rot_8p0,0.2883544350215298,0.27047791552658096,0.2939331100262158,0.2684529354927837,0.2393423156518156,0.23171221121917976
pos_2p0_rot_10p0,0.3004645465497391,0.28258802705479014,0.31546212838901766,0.28998195385558556,0.26501520313307136,0.2573850987004356
pos_2p0_rot_14p0,0.443020076109744,0.425143556614795,0.4552944645603481,0.429814290026916,0.32844900207350725,0.32081889764087135
