Noise setting,ΔAP@0.3,ΔRG@0.3,ΔAP@0.5,ΔRG@0.5,ΔAP@0.7,ΔRG@0.7
clean,-0.40488823775884547,0.0,-0.15275957827069658,0.0,0.7145318364273383,0.0
rot_only_1p0,0.41995711106721884,0.8248453488260643,1.1058284709248487,1.258588049195545,1.9866160387687941,1.2720842023414558
rot_only_2p0,1.6910420725578468,2.095930310316692,2.6086324107077914,2.761391988978488,3.2487729487095365,2.5342411122821984
rot_only_4p0,3.7727823319843035,4.1776705697431495,4.69384084996867,4.846600428239367,5.03128832839869,4.316756491971352
pos_only_0p2,-0.3171373012283948,0.08775093653045074,-0.09225970839657668,0.06049986987411993,0.7694622655294858,0.05493042910214759
pos_only_0p5,-0.01132543398930282,0.39356280376954267,0.31640056495318236,0.469160143223879,1.357694993371339,0.6431631569440006
pos_only_1p0,0.9342449592975477,1.3391331970563933,1.444770538889125,1.5975301171598215,2.805835312837013,2.0913034764096743
rot_only_6p0,5.284276785001659,5.689165022760504,6.199300845431564,6.352060423702261,6.359034365076316,5.644502528648978
rot_only_8p0,6.241149619929317,6.646037857688163,7.260404555173282,7.413164133443978,7.041706868873486,6.3271750324461475
rot_only_10p0,6.981644293558349,7.3865325313171954,7.9565531449981,8.109312723268797,7.4689704643774775,6.754438627950139
rot_only_14p0,8.305301565005418,8.710189802764264,9.166129798577414,9.31888937684811,8.331181942353593,7.616650105926255
pos_0p2_rot_1p0,0.47588927021963895,0.8807775079784844,1.194550103191546,1.3473096814622423,2.02868365138366,1.3141518149563214
pos_0p2_rot_2p0,1.6117338657038127,2.016622103462658,2.56233756861724,2.7150971468879366,3.2763301393635236,2.561798302936186
pos_0p2_rot_4p0,3.7880039900071125,4.192892227765958,4.740304460931446,4.893064039202142,5.128152477710392,4.413620641283054
pos_0p2_rot_6p0,5.435218368055597,5.8401066058144435,6.289846441669787,6.4426060199404835,6.269629530289002,5.555097693861664
pos_0p2_rot_8p0,6.395066232820308,6.799954470579155,7.411036810959019,7.563796389229715,7.066806159010082,6.352274322582745
pos_0p2_rot_10p0,7.249060142449797,7.653948380208641,8.212162318331352,8.36492189660205,7.461112801762802,6.746580965335464
pos_0p2_rot_14p0,8.572882115929923,8.977770353688769,9.414840949072117,9.567600527342814,8.423631726641107,7.709099890213768
pos_0p5_rot_1p0,0.7705291355415607,1.175417373300406,1.5090044843026673,1.6617640625733638,2.4753672366234545,1.7608354001961164
pos_0p5_rot_2p0,1.999253263560441,2.404141501319286,2.914776321896978,3.0675359001676745,3.5641333541234497,2.8496015176961116
pos_0p5_rot_4p0,3.9372411081382097,4.342129345897056,4.859629235519919,5.012388813790616,5.122507200163828,4.40797536373649
pos_0p5_rot_6p0,5.697056986855692,6.101945224614537,6.609008404715409,6.761767982986106,6.618428771860191,5.9038969354328525
pos_0p5_rot_8p0,6.740861327088525,7.14574956484737,7.70024940382693,7.853008982097625,7.4011086797870735,6.6865768433597355
pos_0p5_rot_10p0,7.6532087938151125,8.058097031573958,8.578571082538351,8.731330660809048,7.904174058661153,7.1896422222338146
pos_0p5_rot_14p0,9.100785448536081,9.505673686294928,9.920187617084105,10.072947195354802,8.869583653307146,8.155051816879807
pos_1p0_rot_1p0,1.6325408226497788,2.0374290604086243,2.6571878556642075,2.8099474339349046,3.7383446011184263,3.0238127646910877
pos_1p0_rot_2p0,2.892203858908167,3.2970920966670128,3.9541478332044555,4.106907411475152,4.814945761432341,4.100413925005003
pos_1p0_rot_4p0,5.0290633038352315,5.433951541594077,6.016314043608008,6.169073621878705,6.419120902445726,5.7045890660183876
pos_1p0_rot_6p0,6.619510336099321,7.024398573858166,7.559125383699632,7.711884961970328,7.696150464344402,6.981618627917063
pos_1p0_rot_8p0,7.860030870630961,8.264919108389806,8.808851414927442,8.96161099319814,8.547115659795194,7.832583823367855
pos_1p0_rot_10p0,8.906968460861064,9.31185669861991,9.76553768995677,9.918297268227466,9.150452186645488,8.435920350218149
pos_1p0_rot_14p0,10.30222346327571,10.707111701034556,11.116561797801007,11.269321376071705,10.264784232449083,9.550252396021746
pos_only_1p5,2.621139685034542,3.026027922793388,3.3975733661480914,3.550332944418788,5.1456621442075825,4.4311303077802435
pos_1p5_rot_1p0,3.344558412462125,3.7494466502209702,4.6268362890207975,4.779595867291494,5.900776884444327,5.186245048016989
pos_1p5_rot_2p0,4.630367397134302,5.035255634893146,5.810037866792082,5.962797445062779,6.729126472840023,6.014594636412685
pos_1p5_rot_4p0,6.5305591249584305,6.9354473627172775,7.599078932642077,7.751838510912773,7.975638379629463,7.261106543202124
pos_1p5_rot_6p0,8.00480120195151,8.409689439710355,9.077577740940047,9.230337319210745,9.20371529512629,8.489183458698951
pos_1p5_rot_8p0,9.27727483328916,9.682163071048006,10.203253512596909,10.356013090867606,10.098647068671157,9.384115232243818
