Noise setting,ΔAP@0.3,ΔRG@0.3,ΔAP@0.5,ΔRG@0.5,ΔAP@0.7,ΔRG@0.7
clean,-0.4227647572537944,0.0,-0.17823975280412868,0.0,0.7069017319947024,0.0
rot_only_1p0,0.4191112377243604,0.8418759949781548,1.1043238337577699,1.2825635865618987,1.9860957464130007,1.279194014418298
rot_only_2p0,1.685319594870364,2.108084352124158,2.6019533145137315,2.78019306731786,3.2397620516952976,2.5328603197005957
rot_only_4p0,3.7701179955988504,4.192882752852645,4.685783999910514,4.864023752714643,5.020645513877579,4.313743781882876
pos_only_0p2,-0.3192516184383801,0.10351313881541424,-0.09640092645544959,0.08183882634867912,0.7662895531777754,0.05938782118307303
pos_only_0p5,-0.027517335061274146,0.39524742219252024,0.300944217764069,0.4791839705681977,1.352771542281772,0.6458698102870697
pos_only_1p0,0.9118378612042233,1.3346026184580175,1.4224703887323296,1.6007101415364582,2.78094624801295,2.0740445160182475
rot_only_6p0,5.255433356860025,5.678198114113819,6.167698848694325,6.345938601498453,6.330557574762098,5.623655842767397
rot_only_8p0,6.211305020979826,6.63406977823362,7.227024633344205,7.4052643861483345,6.999683461031725,6.2927817290370225
rot_only_10p0,6.916794596239506,7.339559353493301,7.893166260978863,8.071406013782994,7.416749651864041,6.709847919869338
rot_only_14p0,8.153166643624958,8.575931400878751,9.023777912616096,9.202017665420223,8.213313440188617,7.506411708193915
pos_0p2_rot_1p0,0.4744065268968682,0.8971712841506626,1.1923895727820675,1.3706293255861959,2.0305265649005126,1.32362483290581
pos_0p2_rot_2p0,1.6023231351698586,2.0250878924236533,2.552656867939908,2.730896620744037,3.2698061298217285,2.562904397827026
pos_0p2_rot_4p0,3.783849109914228,4.206613867168022,4.7352937083152264,4.913533461119355,5.120664420309405,4.413762688314702
pos_0p2_rot_6p0,5.424106750020133,5.846871507273929,6.273646420261818,6.451886173065946,6.246993177765838,5.540091445771136
pos_0p2_rot_8p0,6.352193247690567,6.77495800494436,7.361546682748134,7.539786435552263,7.016842964630408,6.309941232635706
pos_0p2_rot_10p0,7.192780493744177,7.615545250997973,8.149520065075421,8.32775981787955,7.400327255444712,6.69342552345001
pos_0p2_rot_14p0,8.414929346486204,8.837694103739997,9.246305023282732,9.424544776086861,8.28806356685529,7.581161834860589
pos_0p5_rot_1p0,0.7645644341516451,1.1873291914054396,1.5012222127846253,1.679461965588754,2.4714401694424755,1.764538437447773
pos_0p5_rot_2p0,1.9922027433916727,2.4149675006454667,2.907381984290382,3.085621737094511,3.556306872540486,2.849405140545784
pos_0p5_rot_4p0,3.9255470889709674,4.348311846224762,4.848752011297773,5.0269917641019015,5.101132875143623,4.394231143148921
pos_0p5_rot_6p0,5.671646513844795,6.09441127109859,6.576355972669005,6.754595725473134,6.583092193716629,5.876190461721928
pos_0p5_rot_8p0,6.701467161286841,7.1242319185406355,7.641829751398778,7.820069504202907,7.342098892388717,6.635197160394014
pos_0p5_rot_10p0,7.578179691671501,8.000944448925296,8.476101342532317,8.654341095336447,7.82486824831094,7.117966516316238
pos_0p5_rot_14p0,8.944204928918847,9.36696968617264,9.745269136365227,9.923508889169357,8.736938962455449,8.030037230460746
pos_1p0_rot_1p0,1.6112953296468928,2.034060086900687,2.6303850544173946,2.808624807221523,3.7187444078375633,3.0118426758428614
pos_1p0_rot_2p0,2.860399541508481,3.2831642987622756,3.9189306730130213,4.097170425817151,4.7772611708031985,4.070359438808496
pos_1p0_rot_4p0,5.000777906348147,5.423542663601942,5.976092566645056,6.1543323194491855,6.382888409726689,5.675986677731987
pos_1p0_rot_6p0,6.577599197770236,7.000363955024031,7.5001653931810965,7.6784051459852245,7.643023853301377,6.936122121306674
pos_1p0_rot_8p0,7.808894896511613,8.231659653765407,8.734281274520166,8.912521027324294,8.470157688930554,7.763255956935851
pos_1p0_rot_10p0,8.803509113280256,9.226273870534051,9.643367542210664,9.821607295014793,9.034741515452533,8.32783978345783
pos_1p0_rot_14p0,10.074504554646337,10.497269311900132,10.887307171961114,11.065546924765242,10.075363039293622,9.36846130729892
pos_only_1p5,2.553427537624564,2.976192294878359,3.315328529233108,3.493568282037237,5.075826002144953,4.36892427015025
pos_1p5_rot_1p0,3.278338707898343,3.701103465152137,4.549061226823517,4.727300979627646,5.83248208262955,5.125580350634848
pos_1p5_rot_2p0,4.586085941743093,5.008850698996889,5.752299220659682,5.930538973463811,6.6707428831834354,5.963841151188733
pos_1p5_rot_4p0,6.442568285245641,6.865333042499435,7.512356835371274,7.690596588175403,7.885372750691327,7.178471018696625
pos_1p5_rot_6p0,7.916388017418748,8.339152774672542,8.974457736621218,9.152697489425348,9.096240530696935,8.389338798702232
pos_1p5_rot_8p0,9.152672492548772,9.575437249802567,10.053210251376472,10.2314500041806,9.951450437814513,9.24454870581981
pos_1p5_rot_10p0,9.962405174639013,10.385169931892808,10.813053218985607,10.991292971789735,10.264466458176663,9.55756472618196
pos_1p5_rot_14p0,11.176519503254429,11.599284260508224,12.0426875567234,12.220927309527529,11.456070027374759,10.749168295380056
pos_only_2p0,4.410332206077335,4.83309696333113,5.211030480269382,5.38927023307351,6.586398896911698,5.8794971649169945
pos_2p0_rot_1p0,5.03017478826242,5.452939545516214,6.103160084794778,6.281399837598907,7.1160232251315945,6.409121493136892
pos_2p0_rot_2p0,6.465723936453389,6.888488693707185,7.267802940552191,7.446042693356319,7.92503109140281,7.218129359408108
pos_2p0_rot_4p0,7.858058683960917,8.28082344121471,8.622328637768064,8.800568390572193,8.979604976881017,8.272703244886316
pos_2p0_rot_6p0,8.942487604173008,9.365252361426803,9.689236822568018,9.867476575372148,9.63352338602177,8.926621654027066
pos_2p0_rot_8p0,9.887131542939132,10.309896300192927,10.511086944395103,10.689326697199231,10.209428569077552,9.502526837082849
pos_2p0_rot_10p0,10.65608362058711,11.078848377840904,11.337041328708738,11.515281081512867,10.692820408252436,9.985918676257734
pos_2p0_rot_14p0,11.163050299559671,11.585815056813466,11.787552753655117,11.965792506459245,10.990533105038658,10.283631373043956
