run_name,run_dir,config_path,method_name,core_method,noise_name,loc_err,xyz_std,ryp_std,seed,cov_log_filename,enable_status_based_skip,enable_ok_tail_vertical_blur,vertical_blur_use_ty_only,blur_sigma_scale,enable_tail_mc_warp,mc_trace_threshold,mc_num_samples,mc_random_seed,mc_use_translation_only,mc_theta_clip,mc_translation_clip
feaco_baseline__clean__xyz0__ryp0__seed20,opencood/pretrained/feaco/generated_feaco_baseline__clean__xyz0__ryp0__seed20,opencood/pretrained/feaco/generated_feaco_baseline__clean__xyz0__ryp0__seed20/config.yaml,feaco_baseline,point_pillar_where2comm_feaco,clean,False,0.0,0.0,20,feaco_baseline__clean__xyz0__ryp0__seed20.csv,False,False,True,0.05,False,9.800544452667232,3,123,True,0.15,3.0
level2_status_skip_vertical_blur_bss0p05__clean__xyz0__ryp0__seed20,opencood/pretrained/feaco/generated_level2_status_skip_vertical_blur_bss0p05__clean__xyz0__ryp0__seed20,opencood/pretrained/feaco/generated_level2_status_skip_vertical_blur_bss0p05__clean__xyz0__ryp0__seed20/config.yaml,level2_status_skip_vertical_blur_bss0p05,point_pillar_where2comm_our,clean,False,0.0,0.0,20,level2_status_skip_vertical_blur_bss0p05__clean__xyz0__ryp0__seed20.csv,True,True,True,0.05,False,9.800544452667232,3,123,True,0.15,3.0
mc_status_skip_full_k3__clean__xyz0__ryp0__seed20,opencood/pretrained/feaco/generated_mc_status_skip_full_k3__clean__xyz0__ryp0__seed20,opencood/pretrained/feaco/generated_mc_status_skip_full_k3__clean__xyz0__ryp0__seed20/config.yaml,mc_status_skip_full_k3,point_pillar_where2comm_our,clean,False,0.0,0.0,20,mc_status_skip_full_k3__clean__xyz0__ryp0__seed20.csv,True,False,True,0.05,True,9.800544452667232,3,123,False,0.15,3.0
feaco_baseline__pos_0p2_rot_1p0__xyz0p2__ryp1__seed20,opencood/pretrained/feaco/generated_feaco_baseline__pos_0p2_rot_1p0__xyz0p2__ryp1__seed20,opencood/pretrained/feaco/generated_feaco_baseline__pos_0p2_rot_1p0__xyz0p2__ryp1__seed20/config.yaml,feaco_baseline,point_pillar_where2comm_feaco,pos_0p2_rot_1p0,True,0.2,1.0,20,feaco_baseline__pos_0p2_rot_1p0__xyz0p2__ryp1__seed20.csv,False,False,True,0.05,False,9.800544452667232,3,123,True,0.15,3.0
level2_status_skip_vertical_blur_bss0p05__pos_0p2_rot_1p0__xyz0p2__ryp1__seed20,opencood/pretrained/feaco/generated_level2_status_skip_vertical_blur_bss0p05__pos_0p2_rot_1p0__xyz0p2__ryp1__seed20,opencood/pretrained/feaco/generated_level2_status_skip_vertical_blur_bss0p05__pos_0p2_rot_1p0__xyz0p2__ryp1__seed20/config.yaml,level2_status_skip_vertical_blur_bss0p05,point_pillar_where2comm_our,pos_0p2_rot_1p0,True,0.2,1.0,20,level2_status_skip_vertical_blur_bss0p05__pos_0p2_rot_1p0__xyz0p2__ryp1__seed20.csv,True,True,True,0.05,False,9.800544452667232,3,123,True,0.15,3.0
mc_status_skip_full_k3__pos_0p2_rot_1p0__xyz0p2__ryp1__seed20,opencood/pretrained/feaco/generated_mc_status_skip_full_k3__pos_0p2_rot_1p0__xyz0p2__ryp1__seed20,opencood/pretrained/feaco/generated_mc_status_skip_full_k3__pos_0p2_rot_1p0__xyz0p2__ryp1__seed20/config.yaml,mc_status_skip_full_k3,point_pillar_where2comm_our,pos_0p2_rot_1p0,True,0.2,1.0,20,mc_status_skip_full_k3__pos_0p2_rot_1p0__xyz0p2__ryp1__seed20.csv,True,False,True,0.05,True,9.800544452667232,3,123,False,0.15,3.0
feaco_baseline__pos_0p2_rot_2p0__xyz0p2__ryp2__seed20,opencood/pretrained/feaco/generated_feaco_baseline__pos_0p2_rot_2p0__xyz0p2__ryp2__seed20,opencood/pretrained/feaco/generated_feaco_baseline__pos_0p2_rot_2p0__xyz0p2__ryp2__seed20/config.yaml,feaco_baseline,point_pillar_where2comm_feaco,pos_0p2_rot_2p0,True,0.2,2.0,20,feaco_baseline__pos_0p2_rot_2p0__xyz0p2__ryp2__seed20.csv,False,False,True,0.05,False,9.800544452667232,3,123,True,0.15,3.0
level2_status_skip_vertical_blur_bss0p05__pos_0p2_rot_2p0__xyz0p2__ryp2__seed20,opencood/pretrained/feaco/generated_level2_status_skip_vertical_blur_bss0p05__pos_0p2_rot_2p0__xyz0p2__ryp2__seed20,opencood/pretrained/feaco/generated_level2_status_skip_vertical_blur_bss0p05__pos_0p2_rot_2p0__xyz0p2__ryp2__seed20/config.yaml,level2_status_skip_vertical_blur_bss0p05,point_pillar_where2comm_our,pos_0p2_rot_2p0,True,0.2,2.0,20,level2_status_skip_vertical_blur_bss0p05__pos_0p2_rot_2p0__xyz0p2__ryp2__seed20.csv,True,True,True,0.05,False,9.800544452667232,3,123,True,0.15,3.0
mc_status_skip_full_k3__pos_0p2_rot_2p0__xyz0p2__ryp2__seed20,opencood/pretrained/feaco/generated_mc_status_skip_full_k3__pos_0p2_rot_2p0__xyz0p2__ryp2__seed20,opencood/pretrained/feaco/generated_mc_status_skip_full_k3__pos_0p2_rot_2p0__xyz0p2__ryp2__seed20/config.yaml,mc_status_skip_full_k3,point_pillar_where2comm_our,pos_0p2_rot_2p0,True,0.2,2.0,20,mc_status_skip_full_k3__pos_0p2_rot_2p0__xyz0p2__ryp2__seed20.csv,True,False,True,0.05,True,9.800544452667232,3,123,False,0.15,3.0
feaco_baseline__pos_0p2_rot_4p0__xyz0p2__ryp4__seed20,opencood/pretrained/feaco/generated_feaco_baseline__pos_0p2_rot_4p0__xyz0p2__ryp4__seed20,opencood/pretrained/feaco/generated_feaco_baseline__pos_0p2_rot_4p0__xyz0p2__ryp4__seed20/config.yaml,feaco_baseline,point_pillar_where2comm_feaco,pos_0p2_rot_4p0,True,0.2,4.0,20,feaco_baseline__pos_0p2_rot_4p0__xyz0p2__ryp4__seed20.csv,False,False,True,0.05,False,9.800544452667232,3,123,True,0.15,3.0
