run_name,run_dir,config_path,method_name,core_method,noise_name,loc_err,xyz_std,ryp_std,seed,cov_log_filename,enable_status_based_skip,enable_ok_tail_vertical_blur,vertical_blur_use_ty_only,blur_sigma_scale
feaco_baseline__pos_only_4p5__xyz4p5__ryp0__seed20,opencood/pretrained/feaco/generated_feaco_baseline__pos_only_4p5__xyz4p5__ryp0__seed20,opencood/pretrained/feaco/generated_feaco_baseline__pos_only_4p5__xyz4p5__ryp0__seed20/config.yaml,feaco_baseline,point_pillar_where2comm_feaco,pos_only_4p5,True,4.5,0.0,20,feaco_baseline__pos_only_4p5__xyz4p5__ryp0__seed20.csv,False,False,True,0.05
level2_status_skip_vertical_blur_bss0p05__pos_only_4p5__xyz4p5__ryp0__seed20,opencood/pretrained/feaco/generated_level2_status_skip_vertical_blur_bss0p05__pos_only_4p5__xyz4p5__ryp0__seed20,opencood/pretrained/feaco/generated_level2_status_skip_vertical_blur_bss0p05__pos_only_4p5__xyz4p5__ryp0__seed20/config.yaml,level2_status_skip_vertical_blur_bss0p05,point_pillar_where2comm_our,pos_only_4p5,True,4.5,0.0,20,level2_status_skip_vertical_blur_bss0p05__pos_only_4p5__xyz4p5__ryp0__seed20.csv,True,True,True,0.05
feaco_baseline__pos_only_10p0__xyz10__ryp0__seed20,opencood/pretrained/feaco/generated_feaco_baseline__pos_only_10p0__xyz10__ryp0__seed20,opencood/pretrained/feaco/generated_feaco_baseline__pos_only_10p0__xyz10__ryp0__seed20/config.yaml,feaco_baseline,point_pillar_where2comm_feaco,pos_only_10p0,True,10.0,0.0,20,feaco_baseline__pos_only_10p0__xyz10__ryp0__seed20.csv,False,False,True,0.05
level2_status_skip_vertical_blur_bss0p05__pos_only_10p0__xyz10__ryp0__seed20,opencood/pretrained/feaco/generated_level2_status_skip_vertical_blur_bss0p05__pos_only_10p0__xyz10__ryp0__seed20,opencood/pretrained/feaco/generated_level2_status_skip_vertical_blur_bss0p05__pos_only_10p0__xyz10__ryp0__seed20/config.yaml,level2_status_skip_vertical_blur_bss0p05,point_pillar_where2comm_our,pos_only_10p0,True,10.0,0.0,20,level2_status_skip_vertical_blur_bss0p05__pos_only_10p0__xyz10__ryp0__seed20.csv,True,True,True,0.05
feaco_baseline__rot_only_6p0__xyz0__ryp6__seed20,opencood/pretrained/feaco/generated_feaco_baseline__rot_only_6p0__xyz0__ryp6__seed20,opencood/pretrained/feaco/generated_feaco_baseline__rot_only_6p0__xyz0__ryp6__seed20/config.yaml,feaco_baseline,point_pillar_where2comm_feaco,rot_only_6p0,True,0.0,6.0,20,feaco_baseline__rot_only_6p0__xyz0__ryp6__seed20.csv,False,False,True,0.05
level2_status_skip_vertical_blur_bss0p05__rot_only_6p0__xyz0__ryp6__seed20,opencood/pretrained/feaco/generated_level2_status_skip_vertical_blur_bss0p05__rot_only_6p0__xyz0__ryp6__seed20,opencood/pretrained/feaco/generated_level2_status_skip_vertical_blur_bss0p05__rot_only_6p0__xyz0__ryp6__seed20/config.yaml,level2_status_skip_vertical_blur_bss0p05,point_pillar_where2comm_our,rot_only_6p0,True,0.0,6.0,20,level2_status_skip_vertical_blur_bss0p05__rot_only_6p0__xyz0__ryp6__seed20.csv,True,True,True,0.05
feaco_baseline__rot_only_8p0__xyz0__ryp8__seed20,opencood/pretrained/feaco/generated_feaco_baseline__rot_only_8p0__xyz0__ryp8__seed20,opencood/pretrained/feaco/generated_feaco_baseline__rot_only_8p0__xyz0__ryp8__seed20/config.yaml,feaco_baseline,point_pillar_where2comm_feaco,rot_only_8p0,True,0.0,8.0,20,feaco_baseline__rot_only_8p0__xyz0__ryp8__seed20.csv,False,False,True,0.05
level2_status_skip_vertical_blur_bss0p05__rot_only_8p0__xyz0__ryp8__seed20,opencood/pretrained/feaco/generated_level2_status_skip_vertical_blur_bss0p05__rot_only_8p0__xyz0__ryp8__seed20,opencood/pretrained/feaco/generated_level2_status_skip_vertical_blur_bss0p05__rot_only_8p0__xyz0__ryp8__seed20/config.yaml,level2_status_skip_vertical_blur_bss0p05,point_pillar_where2comm_our,rot_only_8p0,True,0.0,8.0,20,level2_status_skip_vertical_blur_bss0p05__rot_only_8p0__xyz0__ryp8__seed20.csv,True,True,True,0.05
feaco_baseline__pos_only_4p5__xyz4p5__ryp0__seed28,opencood/pretrained/feaco/generated_feaco_baseline__pos_only_4p5__xyz4p5__ryp0__seed28,opencood/pretrained/feaco/generated_feaco_baseline__pos_only_4p5__xyz4p5__ryp0__seed28/config.yaml,feaco_baseline,point_pillar_where2comm_feaco,pos_only_4p5,True,4.5,0.0,28,feaco_baseline__pos_only_4p5__xyz4p5__ryp0__seed28.csv,False,False,True,0.05
level2_status_skip_vertical_blur_bss0p05__pos_only_4p5__xyz4p5__ryp0__seed28,opencood/pretrained/feaco/generated_level2_status_skip_vertical_blur_bss0p05__pos_only_4p5__xyz4p5__ryp0__seed28,opencood/pretrained/feaco/generated_level2_status_skip_vertical_blur_bss0p05__pos_only_4p5__xyz4p5__ryp0__seed28/config.yaml,level2_status_skip_vertical_blur_bss0p05,point_pillar_where2comm_our,pos_only_4p5,True,4.5,0.0,28,level2_status_skip_vertical_blur_bss0p05__pos_only_4p5__xyz4p5__ryp0__seed28.csv,True,True,True,0.05
feaco_baseline__pos_only_10p0__xyz10__ryp0__seed28,opencood/pretrained/feaco/generated_feaco_baseline__pos_only_10p0__xyz10__ryp0__seed28,opencood/pretrained/feaco/generated_feaco_baseline__pos_only_10p0__xyz10__ryp0__seed28/config.yaml,feaco_baseline,point_pillar_where2comm_feaco,pos_only_10p0,True,10.0,0.0,28,feaco_baseline__pos_only_10p0__xyz10__ryp0__seed28.csv,False,False,True,0.05
level2_status_skip_vertical_blur_bss0p05__pos_only_10p0__xyz10__ryp0__seed28,opencood/pretrained/feaco/generated_level2_status_skip_vertical_blur_bss0p05__pos_only_10p0__xyz10__ryp0__seed28,opencood/pretrained/feaco/generated_level2_status_skip_vertical_blur_bss0p05__pos_only_10p0__xyz10__ryp0__seed28/config.yaml,level2_status_skip_vertical_blur_bss0p05,point_pillar_where2comm_our,pos_only_10p0,True,10.0,0.0,28,level2_status_skip_vertical_blur_bss0p05__pos_only_10p0__xyz10__ryp0__seed28.csv,True,True,True,0.05
feaco_baseline__rot_only_6p0__xyz0__ryp6__seed28,opencood/pretrained/feaco/generated_feaco_baseline__rot_only_6p0__xyz0__ryp6__seed28,opencood/pretrained/feaco/generated_feaco_baseline__rot_only_6p0__xyz0__ryp6__seed28/config.yaml,feaco_baseline,point_pillar_where2comm_feaco,rot_only_6p0,True,0.0,6.0,28,feaco_baseline__rot_only_6p0__xyz0__ryp6__seed28.csv,False,False,True,0.05
