run_name,run_dir,config_path,method_name,core_method,noise_name,loc_err,xyz_std,ryp_std,seed,cov_log_filename,enable_status_based_skip,enable_ok_tail_vertical_blur,vertical_blur_use_ty_only,blur_sigma_scale
feaco_baseline__clean__xyz0__ryp0__seed20,opencood/pretrained/feaco/generated_feaco_baseline__clean__xyz0__ryp0__seed20,opencood/pretrained/feaco/generated_feaco_baseline__clean__xyz0__ryp0__seed20/config.yaml,feaco_baseline,point_pillar_where2comm_feaco,clean,False,0.0,0.0,20,feaco_baseline__clean__xyz0__ryp0__seed20.csv,False,False,True,0.05
level2_status_skip_vertical_blur_bss0p05__clean__xyz0__ryp0__seed20,opencood/pretrained/feaco/generated_level2_status_skip_vertical_blur_bss0p05__clean__xyz0__ryp0__seed20,opencood/pretrained/feaco/generated_level2_status_skip_vertical_blur_bss0p05__clean__xyz0__ryp0__seed20/config.yaml,level2_status_skip_vertical_blur_bss0p05,point_pillar_where2comm_our,clean,False,0.0,0.0,20,level2_status_skip_vertical_blur_bss0p05__clean__xyz0__ryp0__seed20.csv,True,True,True,0.05
feaco_baseline__low_combined__xyz0p2__ryp1__seed20,opencood/pretrained/feaco/generated_feaco_baseline__low_combined__xyz0p2__ryp1__seed20,opencood/pretrained/feaco/generated_feaco_baseline__low_combined__xyz0p2__ryp1__seed20/config.yaml,feaco_baseline,point_pillar_where2comm_feaco,low_combined,True,0.2,1.0,20,feaco_baseline__low_combined__xyz0p2__ryp1__seed20.csv,False,False,True,0.05
level2_status_skip_vertical_blur_bss0p05__low_combined__xyz0p2__ryp1__seed20,opencood/pretrained/feaco/generated_level2_status_skip_vertical_blur_bss0p05__low_combined__xyz0p2__ryp1__seed20,opencood/pretrained/feaco/generated_level2_status_skip_vertical_blur_bss0p05__low_combined__xyz0p2__ryp1__seed20/config.yaml,level2_status_skip_vertical_blur_bss0p05,point_pillar_where2comm_our,low_combined,True,0.2,1.0,20,level2_status_skip_vertical_blur_bss0p05__low_combined__xyz0p2__ryp1__seed20.csv,True,True,True,0.05
feaco_baseline__medium_combined__xyz0p5__ryp2__seed20,opencood/pretrained/feaco/generated_feaco_baseline__medium_combined__xyz0p5__ryp2__seed20,opencood/pretrained/feaco/generated_feaco_baseline__medium_combined__xyz0p5__ryp2__seed20/config.yaml,feaco_baseline,point_pillar_where2comm_feaco,medium_combined,True,0.5,2.0,20,feaco_baseline__medium_combined__xyz0p5__ryp2__seed20.csv,False,False,True,0.05
level2_status_skip_vertical_blur_bss0p05__medium_combined__xyz0p5__ryp2__seed20,opencood/pretrained/feaco/generated_level2_status_skip_vertical_blur_bss0p05__medium_combined__xyz0p5__ryp2__seed20,opencood/pretrained/feaco/generated_level2_status_skip_vertical_blur_bss0p05__medium_combined__xyz0p5__ryp2__seed20/config.yaml,level2_status_skip_vertical_blur_bss0p05,point_pillar_where2comm_our,medium_combined,True,0.5,2.0,20,level2_status_skip_vertical_blur_bss0p05__medium_combined__xyz0p5__ryp2__seed20.csv,True,True,True,0.05
feaco_baseline__high_combined__xyz1__ryp4__seed20,opencood/pretrained/feaco/generated_feaco_baseline__high_combined__xyz1__ryp4__seed20,opencood/pretrained/feaco/generated_feaco_baseline__high_combined__xyz1__ryp4__seed20/config.yaml,feaco_baseline,point_pillar_where2comm_feaco,high_combined,True,1.0,4.0,20,feaco_baseline__high_combined__xyz1__ryp4__seed20.csv,False,False,True,0.05
level2_status_skip_vertical_blur_bss0p05__high_combined__xyz1__ryp4__seed20,opencood/pretrained/feaco/generated_level2_status_skip_vertical_blur_bss0p05__high_combined__xyz1__ryp4__seed20,opencood/pretrained/feaco/generated_level2_status_skip_vertical_blur_bss0p05__high_combined__xyz1__ryp4__seed20/config.yaml,level2_status_skip_vertical_blur_bss0p05,point_pillar_where2comm_our,high_combined,True,1.0,4.0,20,level2_status_skip_vertical_blur_bss0p05__high_combined__xyz1__ryp4__seed20.csv,True,True,True,0.05
feaco_baseline__pos_only_0p2__xyz0p2__ryp0__seed20,opencood/pretrained/feaco/generated_feaco_baseline__pos_only_0p2__xyz0p2__ryp0__seed20,opencood/pretrained/feaco/generated_feaco_baseline__pos_only_0p2__xyz0p2__ryp0__seed20/config.yaml,feaco_baseline,point_pillar_where2comm_feaco,pos_only_0p2,True,0.2,0.0,20,feaco_baseline__pos_only_0p2__xyz0p2__ryp0__seed20.csv,False,False,True,0.05
level2_status_skip_vertical_blur_bss0p05__pos_only_0p2__xyz0p2__ryp0__seed20,opencood/pretrained/feaco/generated_level2_status_skip_vertical_blur_bss0p05__pos_only_0p2__xyz0p2__ryp0__seed20,opencood/pretrained/feaco/generated_level2_status_skip_vertical_blur_bss0p05__pos_only_0p2__xyz0p2__ryp0__seed20/config.yaml,level2_status_skip_vertical_blur_bss0p05,point_pillar_where2comm_our,pos_only_0p2,True,0.2,0.0,20,level2_status_skip_vertical_blur_bss0p05__pos_only_0p2__xyz0p2__ryp0__seed20.csv,True,True,True,0.05
feaco_baseline__pos_only_0p5__xyz0p5__ryp0__seed20,opencood/pretrained/feaco/generated_feaco_baseline__pos_only_0p5__xyz0p5__ryp0__seed20,opencood/pretrained/feaco/generated_feaco_baseline__pos_only_0p5__xyz0p5__ryp0__seed20/config.yaml,feaco_baseline,point_pillar_where2comm_feaco,pos_only_0p5,True,0.5,0.0,20,feaco_baseline__pos_only_0p5__xyz0p5__ryp0__seed20.csv,False,False,True,0.05
level2_status_skip_vertical_blur_bss0p05__pos_only_0p5__xyz0p5__ryp0__seed20,opencood/pretrained/feaco/generated_level2_status_skip_vertical_blur_bss0p05__pos_only_0p5__xyz0p5__ryp0__seed20,opencood/pretrained/feaco/generated_level2_status_skip_vertical_blur_bss0p05__pos_only_0p5__xyz0p5__ryp0__seed20/config.yaml,level2_status_skip_vertical_blur_bss0p05,point_pillar_where2comm_our,pos_only_0p5,True,0.5,0.0,20,level2_status_skip_vertical_blur_bss0p05__pos_only_0p5__xyz0p5__ryp0__seed20.csv,True,True,True,0.05
feaco_baseline__pos_only_1p0__xyz1__ryp0__seed20,opencood/pretrained/feaco/generated_feaco_baseline__pos_only_1p0__xyz1__ryp0__seed20,opencood/pretrained/feaco/generated_feaco_baseline__pos_only_1p0__xyz1__ryp0__seed20/config.yaml,feaco_baseline,point_pillar_where2comm_feaco,pos_only_1p0,True,1.0,0.0,20,feaco_baseline__pos_only_1p0__xyz1__ryp0__seed20.csv,False,False,True,0.05
